Beggiatoa sp. Orange Guaymas,27 N 111 W,NA,NA,hydrothermal vent,391602,19285
Synechococcus sp. M16.17,27.72 N 91.25 W,275.0 m,NA,marine habitat,351025,19373
Synechococcus sp. M11.1,27.72 N 91.25 W,275.0 m,NA,marine habitat,351026,19371
Hahella chejuensis KCTC 2396,33 N 127 E,NA,NA,sediment,349521,16064
Idiomarina loihiensis L2TR,18.9 N 155.3 W,1300.0 m,NA,hydrothermal vent,283942,10790
Alteromonas macleodii Deep ecotype  DSM 17117,41.6 N 17.37 E,3500.0 m,NA,marine habitat,314275,13374
Marinobacter algicola DG893,36 N 123 E,NA,NA,marine habitat,443152,19321
Pseudovibrio sp. JE062,24.95 N 80.47 W,20.0 m,NA,organism-associated habitat,439495,19345
Blastopirellula marina SH 106T  DSM 3645,54.4 N 10.2 E,NA,NA,marine habitat,314230,13488
Hydrogenivirga sp. 128-5-R1-1,20.75 S 176.57 W,2200.0 m,NA,hydrothermal vent,392423,19313
Mariprofundus ferrooxydans PV-1,18.95 N 155.25 W,1100.0 m,NA,marine habitat,314345,13615
Methanosarcina acetivorans C2A,32.87 N 117.27 W,19.8 m,NA,sediment,188937,290
Methanocaldococcus jannaschii DSM 2661,20.83 N 109.1 W,2600.0 m,NA,hydrothermal vent,243232,102
Pyrodictium abyssi DSM 6158,27 N 111.4 W,2000.0 m,NA,hydrothermal vent,391605,19347
Methanopyrus kandleri AV19,27 N 111.4 W,2000.0 m,NA,hydrothermal vent,190192,294
Methanococcus maripaludis S2,33.3 N 79.15 W,NA,NA,sediment,267377,10632
Aciduliprofundum boonei T469,22.17 S 176.6 W,1920.0 m,NA,hydrothermal vent,439481,19277
Kordia algicida OT-1,35.17 N 128.58 E,1.0 m,NA,marine habitat,391587,19315
Octadecabacter antarcticus 307,77.88 S 166.58 E,NA,NA,marine habitat,391626,19333
Lyngbya sp. CCY9616,53.71 N 8.14 E,NA,NA,marine habitat,313612,13409
Caminibacter mediatlanticus TB-2,36.23 N 33.9 W,2300.0 m,NA,hydrothermal vent,391592,19293
Leuconostoc citreum KM20,NA,NA,NA,food,349519,16062
Bacillus cereus m1293,NA,NA,NA,food,526973,29657
Bacillus cereus MM3,NA,NA,NA,food,526971,29653
Lactobacillus casei Zhang,NA,NA,NA,food,498216,28537
Salmonella enterica SARA29,NA,NA,NA,food,439847,19463
Leptospirillum ferrooxidans ATCC 53993,NA,NA,NA,cultured habitat,380394,16689
Rhodobacter sphaeroides ATCC 17029,NA,NA,NA,sediment,349101,15754
Clostridium novyi NT,NA,NA,NA,cultured habitat,386415,16820
Rhodopseudomonas palustris CGA009,NA,NA,NA,sediment,258594,57
Vibrio cholerae 2740-80,NA,NA,NA,aquatic habitat,412614,18253
Streptomyces sp. Mg1,NA,NA,NA,terrestrial habitat,465541,28547
Propionibacterium freudenreichii CIP 103027,NA,NA,NA,food,380773,16705
Bacillus cereus mm1550,NA,NA,NA,food,526969,29649
Aeromonas hydrophila ATCC7966,NA,NA,NA,food,380703,16697
Cronobacter enterobacter sakazakii ATCC BAA-894,NA,NA,NA,food,290339,12720
Clostridium botulinum Langeland,NA,NA,NA,food,441772,19519
Salmonella enterica CT_02021853,NA,NA,NA,food,439851,19467
Brucella abortus S19,NA,NA,NA,food,430066,18999
Clostridium botulinum BoNT/A3 Loch Maree,NA,NA,NA,food,498214,28507
Streptococcus thermophilus LMG18311,NA,NA,NA,food,264199,13162
Leuconostoc mesenteroides ATCC 8293,NA,NA,NA,food,203120,315
Gluconobacter oxydans 621H,NA,NA,NA,food,290633,13325
Brevibacterium linens BL2,NA,NA,NA,food,321955,405
Bacillus cereus NVH0597-99,NA,NA,NA,food,451707,19955
Lactococcus lactis IL1403,NA,NA,NA,food,272623,72
Salmonella enterica CDC 191,NA,NA,NA,food,454231,20069
Clostridium botulinum type C - Eklund,NA,NA,NA,food,445337,20017
Listeria monocytogenes F6854  frankfurter isolate,NA,NA,NA,food,267409,10753
Listeria monocytogenes FSL F2-515,NA,NA,NA,food,393116,17297
Salmonella enterica SL486  CVM30485,NA,NA,NA,food,454164,20065
Streptococcus thermophilus CNRZ 1066,NA,NA,NA,food,299768,13163
Streptococcus thermophilus LMD-9,NA,NA,NA,food,322159,13773
Salmonella enterica SL476  CVM30485,NA,NA,NA,food,454169,20045
Salmonella enterica CVM29188,NA,NA,NA,food,439842,19457
Salmonella enterica SL317,NA,NA,NA,food,454168,20047
Listeria monocytogenes FSL J2-064,NA,NA,NA,food,393122,17309
Salmonella enterica CVM19633,NA,NA,NA,food,439843,19459
Bacillus cereus ATCC 10987,NA,NA,NA,food,222523,74
Salmonella enterica SARA23,NA,NA,NA,food,439846,19461
Clostridium botulinum Kyoto-F,NA,NA,NA,food,536232,29859
Salmonella enterica GA_MM04042433,NA,NA,NA,food,454167,20049
Listeria monocytogenes F6900,NA,NA,NA,food,393128,17321
Clostridium botulinum BoNT E Beluga,NA,NA,NA,food,536233,29861
Synechococcus elongatus PCC 6301,NA,NA,NA,freshwater habitat,269084,13282
Oenococcus oeni ATCC BAA-1163,NA,NA,NA,freshwater habitat,379360,16668
Sphingomonas elodea,NA,NA,NA,freshwater habitat,179878,15728
Dechloromonas aromatica RCB,NA,NA,NA,freshwater habitat,159087,9635
Pseudomonas putida F1,NA,NA,NA,freshwater habitat,351746,13909
Herpetosiphon aurantiacus ATCC 23779,NA,NA,NA,freshwater habitat,316274,16523
Microcystis aeruginosa PCC 7806,NA,NA,NA,freshwater habitat,267872,15702
Moorella thermoacetica ATCC39073,NA,NA,NA,freshwater habitat,264732,10648
Chlorobium chlorochromatii CaD3,NA,NA,NA,freshwater habitat,340177,13921
Chlorobium phaeobacteroides DSM 266,NA,NA,NA,freshwater habitat,290317,12609
Leptospira biflexa Patoc 1 (Ames),NA,NA,NA,freshwater habitat,456481,20133
Synechocystis sp. PCC6803,NA,NA,NA,freshwater habitat,1148,60
Tolypothrix  UTEX 481,NA,NA,NA,freshwater habitat,1188,30639
Magnetospirillum magneticum AMB-1,NA,NA,NA,freshwater habitat,342108,16217
Shewanella oneidensis MR-1,NA,NA,NA,freshwater habitat,211586,335
Arthrospira maxima CS-328,NA,NA,NA,freshwater habitat,513049,29085
Sphingomonas wittichii RW1,NA,NA,NA,freshwater habitat,392499,17343
Chromobacterium violaceum ATCC 12472,NA,NA,NA,freshwater habitat,243365,444
Rhodospirillum rubrum ATCC 11170,NA,NA,NA,freshwater habitat,269796,58
Magnetospirillum magnetotacticum MS-1,NA,NA,NA,freshwater habitat,272627,6
Alkaliphilus metalliredigens QYMF,NA,NA,NA,freshwater habitat,293826,13006
Gemmata obscuriglobus UQM 2246,NA,NA,NA,freshwater habitat,214688,20997
Pelodictyon luteolum DSMZ 273,NA,NA,NA,freshwater habitat,319225,13012
Pelodictyon phaeoclathratiforme BU-1,NA,NA,NA,freshwater habitat,324925,13011
Methanococcoides burtonii DSM6242,NA,NA,NA,freshwater habitat,259564,9634
Polynucleobacter sp. QLW-P1DMWA-1,NA,NA,NA,freshwater habitat,312153,16679
Desulfurococcus kamchatkensis 1221n,NA,NA,NA,hot spring,490899,28141
Thermofilum pendens Hrk 5,NA,NA,NA,hot spring,368408,16331
Acidimicrobium ferrooxidans ICP  DSM 10331,NA,NA,NA,hot spring,525909,29525
Thermus aquaticus Y5.1MC23,NA,NA,NA,hot spring,498848,28589
Thermochromatium tepidum MC ATCC 43061,NA,NA,NA,hot spring,316276,13652
Sulfolobus islandicus Y.G.57.14,NA,NA,NA,hot spring,439386,19487
Chloroflexus sp. Y-400-fl,NA,NA,NA,hot spring,480224,21119
Sulfolobus tokodaii 7  JCM 10545,NA,NA,NA,hot spring,273063,246
Anaerocellum thermophilum Z-1320  DSM 6725,NA,NA,NA,hot spring,521460,29407
Alicyclobacillus acidocaldarius 104-IA  DSM 446,NA,NA,NA,hot spring,521098,29405
Thermosynechococcus elongatus BP-1,NA,NA,NA,hot spring,197221,308
Thermus thermophilus HB8,NA,NA,NA,hot spring,300852,13202
Chlorobaculum tepidum TLS,NA,NA,NA,hot spring,194439,302
Chloroflexus aggregans DSM 9485,NA,NA,NA,hot spring,326427,16708
Fervidobacterium nodosum Rt17-B1,NA,NA,NA,hot spring,381764,16719
Thermoanaerobacter pseudethanolicus 39E,NA,NA,NA,hot spring,340099,13901
Chlorobium limicola DSM 245,NA,NA,NA,hot spring,290315,12606
Rhodothermus marinus DSM 4252,NA,NA,NA,hot spring,518766,29281
Aquifex aeolicus VF5,NA,NA,NA,hot spring,224324,215
Caldivirga maquilingensis IC-167,NA,NA,NA,hot spring,397948,17421
Anoxybacillus flavithermus DSM 2641,NA,NA,NA,hot spring,491915,28245
Thermosinus carboxydivorans Nor1,NA,NA,NA,hot spring,401526,17587
Sulfurihydrogenibium azorense Az-Fu1,NA,NA,NA,hot spring,204536,12529
Dictyoglomus turgidum DSM 6724,NA,NA,NA,hot spring,515635,29175
Chloroflexus aurantiacus J-10-fl,NA,NA,NA,hot spring,324602,59
Geobacillus sp. Y412MC61,NA,NA,NA,hot spring,544556,30537
Geobacillus stearothermophilus 10,NA,NA,NA,hot spring,272567,75
Deinococcus geothermalis DSM11300,NA,NA,NA,hot spring,319795,13423
Geobacter metallireducens GS-15,NA,NA,NA,sediment,269799,177
Thermodesulfobacterium commune DSM 2178,NA,NA,NA,hot spring,289377,12531
Heliobacterium modesticaldum Ice1,NA,NA,NA,hot spring,498761,13427
Methylacidiphilum infernorum V4,NA,NA,NA,hot spring,481448,28995
Pyrobaculum arsenaticum PZ6,NA,NA,NA,hot spring,340102,15582
Meiothermus  DSM 1279,NA,NA,NA,hot spring,504728,28827
Roseiflexus castenholzii HLO8  DSM 13941,NA,NA,NA,hot spring,383372,13462
Thermoproteus neutrophilus V24Sta,NA,NA,NA,hot spring,444157,15645
Thermoanaerobacter tengcongensis MB4T / JCM 11007,NA,NA,NA,hot spring,273068,249
Pyrobaculum calidifontis JCM 11548,NA,NA,NA,hot spring,410359,18111
Caldicellulosiruptor saccharolyticus DSM 8903,NA,NA,NA,hot spring,351627,13466
Thermomicrobium roseum DSM 5159,NA,NA,NA,hot spring,309801,12533
Sulfolobus islandicus U.3.28,NA,NA,NA,hot spring,457571,20205
Rhodospirillum centenum SW,NA,NA,NA,hot spring,414684,18307
Exiguobacterium sp. AT1b,NA,NA,NA,hot spring,360911,27759
Sulfolobus islandicus Y.N.15.51,NA,NA,NA,hot spring,419942,18651
Acidothermus cellulolyticus 11B,NA,NA,NA,hot spring,351607,16097
Sulfolobus islandicus L.D.8.5,NA,NA,NA,hot spring,425944,18803
Sulfolobus islandicus M.16.4,NA,NA,NA,hot spring,426118,18807
Meiothermus silvanus DSM 9946,NA,NA,NA,hot spring,526227,29551
Sulfolobus islandicus M.14.25,NA,NA,NA,hot spring,427317,18871
Sulfolobus islandicus M.16.27,NA,NA,NA,hot spring,427318,18873
Sulfurihydrogenibium sp. YO3AOP1,NA,NA,NA,hot spring,436114,18889
Hydrogenobaculum sp. Y04AAS1,NA,NA,NA,hot spring,380749,18891
Roseiflexus sp. RS-1,NA,NA,NA,hot spring,357808,16190
Sulfolobus islandicus L.S.2.15,NA,NA,NA,hot spring,429572,18987
Sulfurihydrogenibium yellowstonense SS-5,NA,NA,NA,hot spring,432331,19071
Synechococcus sp. JA-3-3Ab,NA,NA,NA,hot spring,321327,16251
Synechococcus sp. JA-2-3B'a(2-13),NA,NA,NA,hot spring,321332,16252
Carboxydothermus hydrogenoformans Z-2901,NA,NA,NA,hot spring,246194,253
Staphylothermus marinus F1,NA,NA,NA,hydrothermal vent,399550,17449
Thermococcus onnurineus NA1,NA,NA,NA,hydrothermal vent,342948,20773
Persephonella marina EX-H1,NA,NA,NA,hydrothermal vent,123214,12526
Thiomicrospira crunogena XCL-2,NA,NA,NA,hydrothermal vent,317025,13018
Thermoplasma volcanium GSS1,NA,NA,NA,hydrothermal vent,273116,206
Vibrio sp. Ex25,NA,NA,NA,hydrothermal vent,150340,15693
Thermotoga neapolitana DSM 4359,NA,NA,NA,hydrothermal vent,309803,21023
Pyrolobus,NA,NA,NA,hydrothermal vent,54252,13457
Thermococcus kodakarensis KOD1,NA,NA,NA,hydrothermal vent,69014,13213
Ignicoccus hospitalis Kin4/I,NA,NA,NA,hydrothermal vent,453591,13914
Marinitoga camini MV1075,NA,NA,NA,hydrothermal vent,106262,15680
Thermus thermophilus HB27,NA,NA,NA,hydrothermal vent,262724,10617
Nitratiruptor sp. SB155-2,NA,NA,NA,hydrothermal vent,387092,18963
Sulfurovum sp. NBC37-1,NA,NA,NA,hydrothermal vent,387093,18965
Vibrio harveyi BB120  ATCC BAA-1116,NA,NA,NA,marine habitat,338187,19857
Shewanella baltica OS223,NA,NA,NA,marine habitat,407976,17985
Myxococcus fulvus HW-1,NA,NA,NA,marine habitat,483219,27837
Haloferax volcanii DS2,NA,NA,NA,marine habitat,309800,12524
Microcystis aeruginosa NIES-843,NA,NA,NA,marine habitat,449447,27835
PHSC20C1,NA,NA,NA,marine habitat,312284,13373
Robiginitalea biformata HTCC2501,NA,NA,NA,marine habitat,313596,13461
Glaciecola sp. HTCC 2999,NA,NA,NA,marine habitat,455436,20121
Maricaulis maris MCS10,NA,NA,NA,marine habitat,394221,17333
Prochlorococcus marinus NATL1A,NA,NA,NA,marine habitat,167555,15660
Kangiella koreensis SW-125  DSM 16069,NA,NA,NA,marine habitat,523791,29443
Bacteriovorax marinus SJ,NA,NA,NA,marine habitat,97084,12622
Polaribacter filamentus,NA,NA,NA,marine habitat,53483,13335
Chlorobium phaeobacteroides BS1,NA,NA,NA,marine habitat,331678,12608
Vibrio cholerae RC385,NA,NA,NA,marine habitat,345074,15668
Alteromonas macleodii ATCC 27126,NA,NA,NA,marine habitat,529120,29793
Unclassified candidatus thioturbo danicus Td_Nivab1,NA,NA,NA,marine habitat,439501,19385
Chlorobium phaeovibrioides DSM 265,NA,NA,NA,marine habitat,290318,12607
Cyanothece  BH68  ATCC 51142,NA,NA,NA,marine habitat,43989,20319
Synechococcus sp. CC9902 (coastal),NA,NA,NA,marine habitat,316279,13655
Silicibacter sp. TM1040,NA,NA,NA,marine habitat,292414,13040
Thioploca araucae Tha-CCL,NA,NA,NA,marine habitat,439499,19383
Prochlorococcus marinus NATL2A,NA,NA,NA,marine habitat,59920,13911
Prochlorococcus marinus MIT9312,NA,NA,NA,marine habitat,74546,13910
Pseudoalteromonas haloplanktis TAC125,NA,NA,NA,marine habitat,326442,15713
Sphingopyxis alaskensis RB2256,NA,NA,NA,marine habitat,317655,13907
Shewanella loihica PV-4,NA,NA,NA,marine habitat,323850,13906
Hyphomonas neptunium ATCC 15444,NA,NA,NA,marine habitat,228405,15721
Kytococcus sedentarius DSM 20547,NA,NA,NA,marine habitat,478801,21067
Shewanella sp. MR-4,NA,NA,NA,marine habitat,60480,13904
Shewanella sp. MR-7,NA,NA,NA,marine habitat,60481,13903
Sulfitobacter sp. EE-36,NA,NA,NA,marine habitat,52598,13501
Fulvimarina pelagi HTCC2506,NA,NA,NA,marine habitat,314231,13506
Unclassified rhodobacterales bacterium htcc2083 HTCC2083,NA,NA,NA,marine habitat,314270,13508
Haloarcula marismortui ATCC43049,NA,NA,NA,marine habitat,272569,105
Prosthecochloris aestuarii SK413,NA,NA,NA,marine habitat,290512,12749
Marinobacter hydrocarbonoclasticus VT8,NA,NA,NA,marine habitat,351348,13239
Parvularcula bermudensis HTCC2503,NA,NA,NA,marine habitat,314260,13509
Nitrosomonas sp. 17,NA,NA,NA,marine habitat,314272,13517
Synechococcus sp. RCC307,NA,NA,NA,marine habitat,316278,13654
Reinekea sp. MED297,NA,NA,NA,marine habitat,314283,13534
Moritella sp. PE36,NA,NA,NA,marine habitat,58051,13535
methylophilales bacterium htcc2181 HTCC2181 (OM43 clade),NA,NA,NA,marine habitat,383631,18317
Thermosipho africanus TCF52B,NA,NA,NA,marine habitat,484019,27767
Thermotoga sp. RQ2,NA,NA,NA,marine habitat,126740,19543
Psychroflexus torquis ATCC 700755,NA,NA,NA,marine habitat,313595,13542
TW-7,NA,NA,NA,marine habitat,156578,18465
Unclassified marine gamma proteobacterium htcc2080 HTCC2080,NA,NA,NA,marine habitat,247639,18487
Haliangium  SMP-2  DSM 14365,NA,NA,NA,marine habitat,502025,28711
Polaribacter dokdonensis MED152,NA,NA,NA,marine habitat,313598,13543
Dokdonia donghaensis MED134,NA,NA,NA,marine habitat,313590,13544
Halobaculum gomorrense,NA,NA,NA,marine habitat,43928,13229
Labrenzia alexandrii DFL-11,NA,NA,NA,marine habitat,244592,19367
Bacillus sp. NRRL B-14911,NA,NA,NA,marine habitat,313627,13545
Janibacter sp. HTCC2649,NA,NA,NA,marine habitat,313589,13546
Dethiosulfovibrio peptidovorans SEBR 4207  DSM 11002,NA,NA,NA,marine habitat,469381,20741
Dermocarpa sp. 0006,NA,NA,NA,marine habitat,344743,13550
Prochlorococcus marinus MIT9215,NA,NA,NA,marine habitat,93060,18633
Trichodesmium erythraeum IMS101,NA,NA,NA,marine habitat,203124,318
Trichodesmium thiebautii II-3,NA,NA,NA,marine habitat,306282,13552
Jannaschia sp. CCS1,NA,NA,NA,marine habitat,290400,12733
Synechococcus sp. WH5701,NA,NA,NA,marine habitat,69042,13554
Desulfovibrio vulgaris Miyazaki F,NA,NA,NA,marine habitat,883,27731
Thermithiobacillus tepidarius HTCC5015,NA,NA,NA,marine habitat,391615,19309
Synechococcus sp. BL107,NA,NA,NA,marine habitat,313625,13559
Sulfitobacter sp. GAI-109,NA,NA,NA,marine habitat,314268,13560
Unclassified oligobacter sp. ska48 SKA48,NA,NA,NA,marine habitat,314257,13565
thermotogales bacterium tb 19.5.1 TB 19.5.1,NA,NA,NA,aquatic habitat,521045,29419
Geobacillus sp. WCH70,NA,NA,NA,unclassified,471223,20805
Desulfovibrio desulfuricans G20,NA,NA,NA,unclassified,207559,329
Methylobacterium extorquens AM1,NA,NA,NA,air,272630,20
Escherichia coli BL21(DE3),NA,NA,NA,cultured habitat,469008,20713
Escherichia coli ATCC 8739,NA,NA,NA,cultured habitat,481805,18083
Escherichia coli LW1655F+,NA,NA,NA,cultured habitat,527799,29609
Brucella abortus 2308,NA,NA,NA,cultured habitat,359391,16203
Citrobacter rodentium ICC168,NA,NA,NA,animal-associated habitat,67825,13422
Mycoplasma pulmonis UAB CTIP,NA,NA,NA,cultured habitat,272635,100
Listeria monocytogenes EGD-e,NA,NA,NA,cultured habitat,169963,276
Oenococcus oeni PSU-1,NA,NA,NA,food,203123,317
Francisella tularensis LVS,NA,NA,NA,cultured habitat,119857,16421
Candidatus Korarchaeum candidatus korarchaeum cryptofilum OPF8,NA,NA,NA,hot spring,374847,16525
Unclassified candidatus ruthia magnifica Cm,NA,NA,NA,animal-associated habitat,413404,16841
Brachybacterium faecium 6-10  DSM 4810,NA,NA,NA,animal-associated habitat,446465,17026
Desulfovibrio vulgaris DP4,NA,NA,NA,sediment,391774,17227
Bacillus anthracis Sterne,NA,NA,NA,cultured habitat,260799,10878
Anabaena variabilis ATCC 29413,NA,NA,NA,freshwater habitat,240292,10642
Clostridium  VPI 10463  ATCC 43255,NA,NA,NA,animal-associated habitat,499175,28559
Francisella tularensis ATCC6223,NA,NA,NA,cultured habitat,491120,30629
Listeria monocytogenes Italy 1997,NA,NA,NA,animal-associated habitat,393129,17323
Listeria monocytogenes Finland 1988,NA,NA,NA,unclassified,393127,17319
Listeria monocytogenes FSL N1-017,NA,NA,NA,food,393123,17311
Listeria monocytogenes LO28,NA,NA,NA,unclassified,393132,17329
Rhodobacter sphaeroides 2.4.1,NA,NA,NA,sediment,272943,56
Halomicrobium mukohataei arg-2  DSM 12286,NA,NA,NA,extreme habitat,485914,27945
Geobacillus stearothermophilus L14,NA,NA,NA,extreme habitat,405537,17695
Picrophilus torridus DSM 9790,NA,NA,NA,extreme habitat,263820,10641
Halobiforma lacisalsi AJ5,NA,NA,NA,extreme habitat,358396,16192
Clostridium thermocellum ATCC 27405,NA,NA,NA,extreme habitat,203119,314
Pyrobaculum islandicum DSM 4184,NA,NA,NA,extreme habitat,384616,16743
Halobacterium salinarum RI,NA,NA,NA,extreme habitat,478009,106
Thermoplasma acidophilum DSM 1728,NA,NA,NA,extreme habitat,273075,110
Coprothermobacter proteolyticus DSM 5265,NA,NA,NA,extreme habitat,309798,12522
Acidianus brierleyi,NA,NA,NA,extreme habitat,41673,199
Natrialba asiatica,NA,NA,NA,extreme habitat,64602,13382
Metallosphaera sedula DSM 5348  ATCC 51363,NA,NA,NA,extreme habitat,399549,17447
Listeria monocytogenes J2818,NA,NA,NA,food,393131,17327
Streptococcus canis FSL Z3-227,NA,NA,NA,food,482234,21075
Listeria monocytogenes J0161  FSL R2-499,NA,NA,NA,food,393130,17493
Salmonella enterica SL486 SL480 (DBS_GA_F25499),NA,NA,NA,food,454165,20071
Leuconostoc gasicomitatum,NA,NA,NA,food,115778,15732
Salmonella enterica CVM23701  S4 [5] 12:i:,NA,NA,NA,food,440534,19465
Clostridium botulinum Iwanei E,NA,NA,NA,food,445338,20019
Lactobacillus delbrueckii ATCC11842,NA,NA,NA,food,390333,16871
Listeria monocytogenes H7858 (meat isolate),NA,NA,NA,food,267410,10752
Lactococcus lactis SK11,NA,NA,NA,food,272622,401
Lactobacillus sakei 23K,NA,NA,NA,food,314315,13435
Clostridium botulinum NCTC 2916,NA,NA,NA,food,445335,20013
Lactococcus lactis MG1363,NA,NA,NA,food,416870,18797
Salmonella enterica SL483,NA,NA,NA,food,454166,20063
Clostridium botulinum Bf,NA,NA,NA,food,445336,20015
Clostridium botulinum Alaska E43,NA,NA,NA,food,508767,28855
Streptococcus equi 4047,NA,NA,NA,organism-associated habitat,1336,69
Shewanella violacea DSS12,NA,NA,NA,sediment,60217,15729
RC-I,NA,NA,NA,soil,351160,19641
Sulfolobus acidocaldarius DSM 639,NA,NA,NA,extreme habitat,330779,13935
Campylobacter jejuni RM1221,NA,NA,NA,food,195099,303
Acholeplasma laidlawii PG-8A,NA,NA,NA,unclassified,441768,19259
Acidobacterium capsulatum ATCC 51196,NA,NA,NA,extreme habitat,240015,1
Aggregatibacter actinomycetemcomitans HK1651,NA,NA,NA,organism-associated habitat,272556,37
Halobacterium salinarum NRC-1,NA,NA,NA,extreme habitat,64091,217
Geobacillus sp. G11MC16,NA,NA,NA,unclassified,495036,28341
Enterococcus faecalis HH22,NA,NA,NA,organism-associated habitat,491075,30625
Bacillus alcalophilus,NA,NA,NA,extreme habitat,1445,13375
Bifidobacterium longum DJO10A,NA,NA,NA,organism-associated habitat,205913,321
Listeria monocytogenes XFL0605,NA,NA,NA,food,447719,19793
Candidatus Chlorothrix candidatus chlorothrix halophila,NA,NA,NA,extreme habitat,257501,13622
Dictyoglomus thermophilum H-6-12,NA,NA,NA,hot spring,309799,12523
Edwardsiella ictaluri 93-146,NA,NA,NA,organism-associated habitat,67780,13468
Escherichia coli E2348/69 (EPEC),NA,NA,NA,organism-associated habitat,216593,341
Eubacterium eligens ATCC27750,NA,NA,NA,organism-associated habitat,39485,13226
Candidatus Liberibacter  FL,NA,NA,NA,organism-associated habitat,34021,29449
Clostridium perfringens JGS1721,NA,NA,NA,animal-associated habitat,488537,28587
Mycobacterium tuberculosis T85,NA,NA,NA,organism-associated habitat,520141,29327
Erythrobacter litoralis HTCC2594,NA,10.0 m,NA,marine habitat,314225,13480
Clostridium botulinum BoNT/B1 Okra,NA,NA,NA,food,498213,28505
Streptomyces sp. SPB74,NA,NA,NA,animal-associated habitat,465543,28549
Halorubrum lacusprofundi ATCC 49239,NA,NA,NA,freshwater habitat,416348,18455
Halorubrum lacusprofundi,NA,NA,NA,extreme habitat,2247,13235
Methylobacterium sp. 4-46,NA,NA,NA,unclassified,426117,18809
Vibrio lentus MEL32,NA,NA,NA,organism-associated habitat,344614,15641
Wolbachia endosymbiont of culex pipiens quinquefasciatus (Culex quinquefasciatus),NA,NA,NA,organism-associated habitat,263437,12626
Thermodesulfovibrio yellowstonii DSM 11347,NA,NA,NA,hot spring,289376,12532
Lactobacillus buchneri B-30929,NA,NA,NA,unclassified,511437,29003
Teredinibacter turnerae T7902,NA,NA,NA,organism-associated habitat,377629,16649
Pseudomonas aeruginosa PK6,NA,NA,NA,cultured habitat,419110,18571
Listeria monocytogenes FSL J1-208,NA,NA,NA,animal-associated habitat,393119,17303
Nautilia sp. Am-H,NA,NA,NA,hydrothermal vent,244787,13240
Ammonifex degensii KC4,NA,NA,NA,hot spring,429009,18961
Acinetobacter sp. ADP1,NA,NA,NA,cultured habitat,62977,12352
Bacillus lentus PS5,NA,NA,NA,unclassified,456487,19977
Neptuniibacter caesariensis MED92,NA,NA,NA,marine habitat,207954,13561
Roseobacter sp. SIO67,NA,NA,NA,marine habitat,391588,19359
